X,CH1,CH2,CH4,Start,Increment
Sequence,Volt,Volt,Volt,-0.0006,1E-06
592,0,0,10,,
593,0,0,10,,
594,0,0.08,10,,
595,0,0.08,10,,
596,-0.008,0.08,9.8,,
597,-0.008,0.08,9.8,,
598,-0.016,7.52,9.8,,
599,-0.016,7.52,9.8,,
600,0.008,7.52,9.8,,
601,0.008,7.52,9.8,,
602,0.008,7.52,10,,
603,0.008,7.52,10,,
604,0.008,7.52,10,,
605,0.008,7.52,10,,
606,0.016,7.52,10,,
607,0.016,7.52,10,,
608,0.016,7.52,10,,
609,0.016,7.52,10,,
610,0.016,7.44,10,,
611,0.016,7.44,10,,
612,0.024,7.52,10,,
613,0.024,7.52,10,,
614,0.024,7.44,9.8,,
615,0.024,7.44,9.8,,
616,0.024,7.52,10,,
617,0.024,7.52,10,,
618,0.016,7.44,10,,
619,0.016,7.44,10,,
620,0.024,7.44,9.8,,
621,0.024,7.44,9.8,,
622,0.032,7.44,9.8,,
623,0.032,7.44,9.8,,
624,0.104,7.44,9.6,,
625,0.104,7.44,9.6,,
626,0.224,7.44,9.2,,
627,0.224,7.44,9.2,,
628,0.352,7.52,8.6,,
629,0.352,7.52,8.6,,
630,0.432,7.52,7.8,,
631,0.432,7.52,7.8,,
632,0.44,7.52,7,,
633,0.44,7.52,7,,
634,0.432,7.44,6.2,,
635,0.432,7.44,6.2,,
636,0.4,7.52,5.6,,
637,0.4,7.52,5.6,,
638,0.376,7.52,5,,
639,0.376,7.52,5,,
640,0.336,7.44,4.4,,
641,0.336,7.44,4.4,,
642,0.304,7.52,4,,
643,0.304,7.52,4,,
644,0.272,7.44,3.4,,
645,0.272,7.44,3.4,,
646,0.232,7.52,2.8,,
647,0.232,7.52,2.8,,
648,0.192,7.52,2.6,,
649,0.192,7.52,2.6,,
650,0.16,7.44,2.4,,
651,0.16,7.44,2.4,,
652,0.136,7.44,2.2,,
653,0.136,7.44,2.2,,
654,0.12,7.44,1.8,,
655,0.12,7.44,1.8,,
656,0.112,7.44,1.6,,
657,0.112,7.44,1.6,,
658,0.112,7.44,1.6,,
659,0.112,7.44,1.6,,
660,0.112,7.52,1.4,,
661,0.112,7.52,1.4,,
662,0.104,7.44,1,,
663,0.104,7.44,1,,
664,0.104,7.44,1.2,,
665,0.104,7.44,1.2,,
666,0.104,7.52,1,,
667,0.104,7.52,1,,
668,0.104,7.52,0.8,,
669,0.104,7.52,0.8,,
670,0.096,7.44,0.8,,
671,0.096,7.44,0.8,,
672,0.096,7.52,0.4,,
673,0.096,7.52,0.4,,
674,0.088,7.52,0.4,,
675,0.088,7.52,0.4,,
676,0.056,7.44,0,,
677,0.056,7.44,0,,
678,0.032,7.52,0,,
679,0.032,7.52,0,,
680,0.024,7.44,0.2,,
681,0.024,7.44,0.2,,
682,0.024,7.52,0.2,,
683,0.024,7.52,0.2,,
684,0.016,7.44,0.2,,
685,0.016,7.44,0.2,,
686,0.024,7.44,0.2,,
687,0.024,7.44,0.2,,
688,0.024,7.44,0.2,,
689,0.024,7.44,0.2,,
690,0.016,7.44,0.2,,
691,0.016,7.44,0.2,,
692,0.024,7.44,0.2,,
693,0.024,7.44,0.2,,
694,0.016,7.44,0.2,,
695,0.016,7.44,0.2,,
696,0.016,7.52,0.2,,
697,0.016,7.52,0.2,,
698,0.016,7.52,0.2,,
699,0.016,7.52,0.2,,
700,0.016,7.44,0.2,,
701,0.016,7.44,0.2,,
702,0.016,7.52,0,,
703,0.016,7.52,0,,
704,0.024,7.44,0.2,,
705,0.024,7.44,0.2,,
706,0.024,7.44,0.2,,
707,0.024,7.44,0.2,,
708,0.016,7.52,0.2,,
709,0.016,7.52,0.2,,
710,0.016,7.52,0.2,,
711,0.016,7.52,0.2,,
712,0.016,7.52,0,,
713,0.016,7.52,0,,
714,0.016,7.52,0.2,,
715,0.016,7.52,0.2,,
716,0.016,7.44,0.2,,
717,0.016,7.44,0.2,,
718,0.016,7.52,0.2,,
719,0.016,7.52,0.2,,
720,0.024,7.44,0.2,,
721,0.024,7.44,0.2,,
722,0.024,7.44,0.2,,
723,0.024,7.44,0.2,,
724,0.024,7.52,0.2,,
725,0.024,7.52,0.2,,
726,0.016,7.52,0.2,,
727,0.016,7.52,0.2,,
728,0.008,7.44,0.2,,
729,0.008,7.44,0.2,,
730,0.024,7.52,0.2,,
731,0.024,7.52,0.2,,
732,0.016,7.44,0.2,,
733,0.016,7.44,0.2,,
734,0.016,7.52,0.2,,
735,0.016,7.52,0.2,,
736,0.016,7.44,0.2,,
737,0.016,7.44,0.2,,
738,0.024,7.44,0.2,,
739,0.024,7.44,0.2,,
740,0.024,7.52,0.2,,
741,0.024,7.52,0.2,,
742,0.024,7.44,0.2,,
743,0.024,7.44,0.2,,
744,0.016,7.44,0.2,,
745,0.016,7.44,0.2,,
746,0.024,7.44,0,,
747,0.024,7.44,0,,
748,0.024,7.52,0.2,,
749,0.024,7.52,0.2,,
750,0.016,7.52,0.2,,
751,0.016,7.52,0.2,,
752,0.016,7.44,0.2,,
753,0.016,7.44,0.2,,
754,0.016,7.44,0.2,,
755,0.016,7.44,0.2,,
756,0.016,7.44,0.2,,
757,0.016,7.44,0.2,,
758,0.016,7.44,0,,
759,0.016,7.44,0,,
760,0.016,7.44,0,,
761,0.016,7.44,0,,
762,0.016,7.44,0,,
763,0.016,7.44,0,,
764,0.008,7.52,0,,
765,0.008,7.52,0,,
766,0.016,7.52,0.2,,
767,0.016,7.52,0.2,,
768,0.016,7.52,0.2,,
769,0.016,7.52,0.2,,
770,0.024,7.52,0.2,,
771,0.024,7.52,0.2,,
772,0.016,7.44,0.2,,
773,0.016,7.44,0.2,,
774,0.024,7.44,0.2,,
775,0.024,7.44,0.2,,
776,0.008,7.52,0.2,,
777,0.008,7.52,0.2,,
778,0.016,7.52,0,,
779,0.016,7.52,0,,
780,0.016,7.52,0.2,,
781,0.016,7.52,0.2,,
782,0.024,7.44,0.2,,
783,0.024,7.44,0.2,,
784,0.016,7.44,0.2,,
785,0.016,7.44,0.2,,
786,0.016,7.52,0.2,,
787,0.016,7.52,0.2,,
788,0.016,7.52,0.2,,
789,0.016,7.52,0.2,,
790,0.024,7.44,0.2,,
791,0.024,7.44,0.2,,
792,0.016,7.52,0.2,,
793,0.016,7.52,0.2,,
794,0.016,7.52,0.2,,
