X,CH1,CH2,CH3,CH4,Start,Increment
Sequence,Volt,Volt,Volt,Volt,-3E-05,5E-08
474,-9.8,-0.122,0.124,-0.2,,
475,-9.8,-0.122,0.124,-0.2,,
476,-9.8,-0.122,0.124,0,,
477,-9.8,-0.122,0.124,0,,
478,-9.8,-0.122,0.124,0,,
479,-9.8,-0.122,0.124,0,,
480,-9.8,-0.122,0.124,0,,
481,-9.8,-0.122,0.124,0,,
482,-9.8,-0.122,0.124,0,,
483,-9.8,-0.122,0.124,0,,
484,-9.8,-0.122,0.124,0,,
485,-9.8,-0.122,0.124,0,,
486,-9.8,-0.122,0.124,0,,
487,-9.8,-0.122,0.124,0,,
488,-9.8,-0.122,0.124,0,,
489,-9.8,-0.122,0.124,0,,
490,-9.8,-0.122,0.124,0,,
491,-9.8,-0.122,0.124,0,,
492,-9.8,-0.122,0.124,0,,
493,-9.8,-0.122,0.124,0,,
494,-9.8,-0.122,0.124,0,,
495,-9.8,-0.122,0.124,0,,
496,-9.8,-0.122,0.124,-0.2,,
497,-9.8,-0.122,0.124,-0.2,,
498,-9.8,-0.122,0.124,-0.2,,
499,-9.8,-0.122,0.124,-0.2,,
500,-9.8,-0.122,0.124,-0.2,,
501,-9.8,-0.122,0.124,-0.2,,
502,-9.8,-0.122,0.124,0,,
503,-9.8,-0.122,0.124,0,,
504,-9.8,-0.122,0.124,0,,
505,-9.8,-0.122,0.124,0,,
506,-9.8,-0.124,0.124,0,,
507,-9.8,-0.124,0.124,0,,
508,-9.8,-0.122,0.124,0,,
509,-9.8,-0.122,0.124,0,,
510,-9.8,-0.122,0.124,0,,
511,-9.8,-0.122,0.124,0,,
512,-9.8,-0.122,0.124,0,,
513,-9.8,-0.122,0.124,0,,
514,-9.8,-0.122,0.124,0,,
515,-9.8,-0.122,0.124,0,,
516,-9.8,-0.122,0.124,0,,
517,-9.8,-0.122,0.124,0,,
518,-9.8,-0.122,0.124,0,,
519,-9.8,-0.122,0.124,0,,
520,-9.8,-0.122,0.124,0,,
521,-9.8,-0.122,0.124,0,,
522,-9.8,-0.122,0.124,0,,
523,-9.8,-0.122,0.124,0,,
524,-9.8,-0.124,0.124,0,,
525,-9.8,-0.124,0.124,0,,
526,-9.8,-0.124,0.124,0,,
527,-9.8,-0.124,0.124,0,,
528,-9.8,-0.122,0.124,0,,
529,-9.8,-0.122,0.124,0,,
530,-9.8,-0.122,0.124,-0.2,,
531,-9.8,-0.122,0.124,-0.2,,
532,-9.8,-0.122,0.124,0,,
533,-9.8,-0.122,0.124,0,,
534,-9.8,-0.124,0.124,0,,
535,-9.8,-0.124,0.124,0,,
536,-9.8,-0.122,0.124,0,,
537,-9.8,-0.122,0.124,0,,
538,-9.8,-0.122,0.124,0,,
539,-9.8,-0.122,0.124,0,,
540,-9.8,-0.122,0.124,0,,
541,-9.8,-0.122,0.124,0,,
542,-9.8,-0.122,0.124,0,,
543,-9.8,-0.122,0.124,0,,
544,-9.8,-0.122,0.124,0,,
545,-9.8,-0.122,0.124,0,,
546,-9.8,-0.122,0.124,0,,
547,-9.8,-0.122,0.124,0,,
548,-9.8,-0.122,0.124,0,,
549,-9.8,-0.122,0.124,0,,
550,-9.8,-0.122,0.124,0,,
551,-9.8,-0.122,0.124,0,,
552,-9.8,-0.122,0.124,0,,
553,-9.8,-0.122,0.124,0,,
554,-9.8,-0.124,0.124,-0.2,,
555,-9.8,-0.124,0.124,-0.2,,
556,-9.8,-0.122,0.124,0,,
557,-9.8,-0.122,0.124,0,,
558,-9.8,-0.124,0.124,0,,
559,-9.8,-0.124,0.124,0,,
560,-9.8,-0.124,0.124,-0.2,,
561,-9.8,-0.124,0.124,-0.2,,
562,-9.8,-0.122,0.124,-0.2,,
563,-9.8,-0.122,0.124,-0.2,,
564,-9.8,-0.122,0.124,0,,
565,-9.8,-0.122,0.124,0,,
566,-9.8,-0.122,0.124,0,,
567,-9.8,-0.122,0.124,0,,
568,-9.8,-0.124,0.124,0,,
569,-9.8,-0.124,0.124,0,,
570,-9.8,-0.122,0.124,0,,
571,-9.8,-0.122,0.124,0,,
572,-9.8,-0.122,0.124,0,,
573,-9.8,-0.122,0.124,0,,
574,-9.8,-0.122,0.124,0,,
575,-9.8,-0.122,0.124,0,,
576,-9.8,-0.122,0.124,0,,
