X,CH1,CH2,CH3,CH4,Start,Increment
Sequence,Volt,Volt,Volt,Volt,-0.000704,1E-06
423,0.0008,0,-0.0254,4.64,,
424,0,-0.02,-0.0254,4.64,,
425,0,-0.02,-0.0254,4.64,,
426,0.0008,0,-0.0254,4.64,,
427,0.0008,0,-0.0254,4.64,,
428,0.0008,0,-0.0254,4.64,,
429,0.0008,0,-0.0254,4.64,,
430,0.0008,0,-0.0254,4.64,,
431,0.0008,0,-0.0254,4.64,,
432,0.0008,0,-0.0254,4.64,,
433,0.0008,0,-0.0254,4.64,,
434,0.0008,0,-0.0254,4.72,,
435,0.0008,0,-0.0254,4.72,,
436,0.0008,-0.02,-0.0254,4.72,,
437,0.0008,-0.02,-0.0254,4.72,,
438,0.0008,-0.02,-0.0254,4.72,,
439,0.0008,-0.02,-0.0254,4.72,,
440,0.0008,-0.02,-0.0254,4.64,,
441,0.0008,-0.02,-0.0254,4.64,,
442,0,-0.02,-0.0254,4.72,,
443,0,-0.02,-0.0254,4.72,,
444,0.0008,0,-0.0254,4.64,,
445,0.0008,0,-0.0254,4.64,,
446,0.0016,-0.02,-0.0254,4.64,,
447,0.0016,-0.02,-0.0254,4.64,,
448,0.0008,-0.02,-0.0254,4.72,,
449,0.0008,-0.02,-0.0254,4.72,,
450,0,0,-0.0254,4.72,,
451,0,0,-0.0254,4.72,,
452,0.0008,0,-0.0254,4.64,,
453,0.0008,0,-0.0254,4.64,,
454,0.0008,0,-0.0254,4.64,,
455,0.0008,0,-0.0254,4.64,,
456,0.0008,-0.02,-0.0254,4.64,,
457,0.0008,-0.02,-0.0254,4.64,,
458,0.0008,0,-0.0254,4.64,,
459,0.0008,0,-0.0254,4.64,,
460,0.0008,-0.02,-0.0254,4.72,,
461,0.0008,-0.02,-0.0254,4.72,,
462,0.0008,-0.02,-0.0254,4.64,,
463,0.0008,-0.02,-0.0254,4.64,,
464,0,0,-0.0254,4.64,,
465,0,0,-0.0254,4.64,,
466,0.0008,-0.02,-0.0254,4.72,,
467,0.0008,-0.02,-0.0254,4.72,,
468,0.0008,0,-0.0254,4.64,,
469,0.0008,0,-0.0254,4.64,,
470,0.0008,0,-0.0254,4.64,,
471,0.0008,0,-0.0254,4.64,,
472,0,0,-0.0254,4.72,,
473,0,0,-0.0254,4.72,,
474,0.0008,0,-0.0254,4.64,,
475,0.0008,0,-0.0254,4.64,,
476,0,0,-0.0254,4.64,,
477,0,0,-0.0254,4.64,,
478,0,0,-0.0254,4.64,,
479,0,0,-0.0254,4.64,,
480,0.0008,0,-0.0254,4.64,,
481,0.0008,0,-0.0254,4.64,,
482,0.0008,0.02,-0.0254,4.64,,
483,0.0008,0.02,-0.0254,4.64,,
484,0,0,-0.0254,4.64,,
485,0,0,-0.0254,4.64,,
486,0.0008,0,-0.0254,4.64,,
487,0.0008,0,-0.0254,4.64,,
488,0.0008,-0.02,-0.0254,4.64,,
489,0.0008,-0.02,-0.0254,4.64,,
490,0,0,-0.0254,4.64,,
491,0,0,-0.0254,4.64,,
492,0.0008,0,-0.0254,4.72,,
493,0.0008,0,-0.0254,4.72,,
494,0.0016,-0.02,-0.0254,4.64,,
495,0.0016,-0.02,-0.0254,4.64,,
496,0.0008,0,-0.0254,4.64,,
497,0.0008,0,-0.0254,4.64,,
498,0.0008,-0.02,-0.0254,4.64,,
499,0.0008,-0.02,-0.0254,4.64,,
500,0.0008,-0.02,-0.0254,4.64,,
501,0.0008,-0.02,-0.0254,4.64,,
502,0.0008,0,-0.0254,4.64,,
503,0.0008,0,-0.0254,4.64,,
504,0.0016,-0.02,-0.0254,4.64,,
505,0.0016,-0.02,-0.0254,4.64,,
506,0.0016,-0.02,-0.0254,4.72,,
507,0.0016,-0.02,-0.0254,4.72,,
508,0,-0.02,-0.0254,4.64,,
509,0,-0.02,-0.0254,4.64,,
510,0,-0.02,-0.0254,4.64,,
511,0,-0.02,-0.0254,4.64,,
512,0.0008,-0.02,-0.0254,4.72,,
513,0.0008,-0.02,-0.0254,4.72,,
514,0,0,-0.0254,4.64,,
515,0,0,-0.0254,4.64,,
516,0.0008,-0.02,-0.0254,4.64,,
517,0.0008,-0.02,-0.0254,4.64,,
518,0.0008,-0.02,-0.0254,4.64,,
519,0.0008,-0.02,-0.0254,4.64,,
520,0.0008,-0.02,-0.0254,4.72,,
521,0.0008,-0.02,-0.0254,4.72,,
522,0.0008,-0.02,-0.0254,4.64,,
523,0.0008,-0.02,-0.0254,4.64,,
524,0.0008,-0.02,-0.0254,4.64,,
525,0.0008,-0.02,-0.0254,4.64,,
526,0.0008,0,-0.0254,4.64,,
527,0.0008,0,-0.0254,4.64,,
528,0.0008,-0.02,-0.0254,4.64,,
529,0.0008,-0.02,-0.0254,4.64,,
530,0.0008,-0.02,-0.0254,4.64,,
531,0.0008,-0.02,-0.0254,4.64,,
532,0.0008,0,-0.0254,4.64,,
533,0.0008,0,-0.0254,4.64,,
534,0.0008,-0.02,-0.0254,4.64,,
535,0.0008,-0.02,-0.0254,4.64,,
536,0,0,-0.0254,4.64,,
537,0,0,-0.0254,4.64,,
538,0.0008,-0.02,-0.0254,4.64,,
539,0.0008,-0.02,-0.0254,4.64,,
540,0.0008,0,-0.0254,4.72,,
541,0.0008,0,-0.0254,4.72,,
542,0.0016,0,-0.0254,4.64,,
543,0.0016,0,-0.0254,4.64,,
544,0.0008,-0.02,-0.0254,4.64,,
545,0.0008,-0.02,-0.0254,4.64,,
546,0,-0.02,-0.0254,4.64,,
547,0,-0.02,-0.0254,4.64,,
548,0.0008,-0.02,-0.0254,4.64,,
549,0.0008,-0.02,-0.0254,4.64,,
550,0.0008,-0.02,-0.0254,4.72,,
551,0.0008,-0.02,-0.0254,4.72,,
552,0.0008,0,-0.0254,4.72,,
553,0.0008,0,-0.0254,4.72,,
554,0.0016,0,-0.0254,4.64,,
555,0.0016,0,-0.0254,4.64,,
556,0.0008,-0.02,-0.0254,4.64,,
557,0.0008,-0.02,-0.0254,4.64,,
558,0.0008,-0.02,-0.0254,4.64,,
559,0.0008,-0.02,-0.0254,4.64,,
560,0.0008,0,-0.0254,4.64,,
561,0.0008,0,-0.0254,4.64,,
562,0.0008,0,-0.0254,4.72,,
563,0.0008,0,-0.0254,4.72,,
564,0.0008,0,-0.0254,4.64,,
565,0.0008,0,-0.0254,4.64,,
566,0.0008,0,-0.0254,4.64,,
567,0.0008,0,-0.0254,4.64,,
568,0.0008,0,-0.0254,4.72,,
569,0.0008,0,-0.0254,4.72,,
570,0,0,-0.0254,4.72,,
571,0,0,-0.0254,4.72,,
572,0,0,-0.0254,4.72,,
573,0,0,-0.0254,4.72,,
574,0.0008,-0.02,-0.0254,4.72,,
575,0.0008,-0.02,-0.0254,4.72,,
576,0.0016,0,-0.0254,4.72,,
577,0.0016,0,-0.0254,4.72,,
578,0.0008,0,-0.0254,4.64,,
579,0.0008,0,-0.0254,4.64,,
580,0,-0.02,-0.0254,4.64,,
581,0,-0.02,-0.0254,4.64,,
582,0,-0.02,-0.0254,4.64,,
583,0,-0.02,-0.0254,4.64,,
584,0.0008,0,-0.0254,4.64,,
585,0.0008,0,-0.0254,4.64,,
586,0.0008,-0.02,-0.0254,4.64,,
587,0.0008,-0.02,-0.0254,4.64,,
588,0.0008,-0.02,-0.0254,4.64,,
589,0.0008,-0.02,-0.0254,4.64,,
590,0.0016,-0.02,-0.0254,4.64,,
591,0.0016,-0.02,-0.0254,4.64,,
592,0.0016,-0.02,-0.0254,4.64,,
593,0.0016,-0.02,-0.0254,4.64,,
594,0.0016,-0.02,-0.0254,4.72,,
595,0.0016,-0.02,-0.0254,4.72,,
596,0.0008,-0.02,-0.0254,4.72,,
597,0.0008,-0.02,-0.0254,4.72,,
598,0.0008,0,-0.0254,4.72,,
599,0.0008,0,-0.0254,4.72,,
600,0.0008,-0.02,-0.0254,4.64,,
601,0.0008,-0.02,-0.0254,4.64,,
602,0.0016,0,-0.0254,4.64,,
603,0.0016,0,-0.0254,4.64,,
604,0.0008,-0.02,-0.0254,4.64,,
605,0.0008,-0.02,-0.0254,4.64,,
606,0.0016,-0.02,-0.0254,4.72,,
